6.984051163271693952e+01,8.763414501249130240e+01,7.458190708191426666e+01,6.002972087981940774e+01,3.411850933217425563e+01,6.779066541672523272e+01
8.677033262362292021e+01,8.661899034459560198e+01,6.686034638305734745e+01,6.914541224951646825e+01,6.641495364348267572e+01,5.496704911059925536e+01
1.064098060364031397e+02,6.944826584470887099e+01,7.988116760805438332e+01,4.718307224918401488e+01,5.891561706359097883e+01,7.294673787926976161e+01
9.017731538159503657e+01,9.316136500483904115e+01,9.268465144888942575e+01,9.240958360648258463e+01,9.064126687066085708e+01,1.021489096523991691e+02
9.990806020010666089e+01,9.308357088899828113e+01,9.137085177160214755e+01,7.947314636800194876e+01,9.102389074006711667e+01,9.819846765928386390e+01
9.463687319175906509e+01,5.796765417024662526e+01,5.813212937175325834e+01,7.027093801959762231e+01,6.267836715927649038e+01,5.466600420253831771e+01
9.037191882631445594e+01,9.482299032165207109e+01,9.430856446614785682e+01,8.580508428168401736e+01,8.258259728304066982e+01,8.604576920745734014e+01
8.170524693408250982e+01,9.228756490053902439e+01,9.234997081311990996e+01,8.854961421843633218e+01,8.723151460408607250e+01,8.678602043392481846e+01
1.083569846712563560e+02,1.139594745213088345e+02,1.011345164557631904e+02,9.825601521857765874e+01,8.772111133330596999e+01,8.492999294883867378e+01
8.583154519650153702e+01,1.025484348215735366e+02,9.894625123760904728e+01,8.526181192492636285e+01,8.818182797175985854e+01,8.152656117824550108e+01
9.023256234944454945e+01,9.206691335920822894e+01,8.426000208206860975e+01,7.956982818364417653e+01,7.822788192913850480e+01,7.185763010366174797e+01
1.096518399936093289e+02,6.024926109886401804e+01,6.239505041186347967e+01,7.456235377532392761e+01,5.933166113914626294e+01,5.792205567508501929e+01
9.255063878870396366e+01,8.985994079865642448e+01,8.216822384515859312e+01,7.969332410796522481e+01,6.995994233471422774e+01,7.548231458449649267e+01
9.591653334086842619e+01,7.202051136163460399e+01,7.313688638019355892e+01,7.051968216798418609e+01,5.997533552845773386e+01,6.391772650280096002e+01
1.040110585704500465e+02,1.013398382187389615e+02,9.512710404334049485e+01,7.647545230567259011e+01,7.459695154386616878e+01,7.569972457583772041e+01
1.090437341546127783e+02,8.049217705141376200e+01,6.428312119311600270e+01,6.707794038752184917e+01,5.736697611090612270e+01,6.748042540019559965e+01
1.100154723131342109e+02,6.804971149243178274e+01,8.110879290998809665e+01,5.103952034515955916e+01,4.039097857937846925e+01,6.598666244068022024e+01
9.794958762701277522e+01,5.743946343083869266e+01,8.384649885239991818e+01,6.010385778543846413e+01,4.520229909563069270e+01,6.490439699182347510e+01
1.050189370794993522e+02,5.684313823590201764e+01,8.665413421223775003e+01,6.048898378103766049e+01,7.412004029813446948e+01,5.738946427841520403e+01
1.030675636675534861e+02,6.263797163575884497e+01,4.506734118404077094e+01,6.703548611716995254e+01,3.994013282115209051e+01,3.243771566609595425e+01
