4.673479569385436250e+14,1.296745047650389600e+16,1.551034674842689000e+15,3.813491413611110938e+13,9.495592700610099792e+10,2.864949300647683125e+14
1.484116722415457800e+16,1.236737058534317000e+16,1.047386016254895469e+14,1.319913982187411875e+14,1.143890605802610000e+14,1.069048227692227539e+13
2.992384679147267072e+18,6.974769937278373750e+14,9.283518814540752000e+15,8.322227908172544922e+12,2.627011433646058984e+13,8.372485009317376250e+14
1.201720672375623840e+17,9.834739913150307200e+16,9.821896474960488000e+16,9.732192697087723200e+16,1.181145948799058240e+17,1.205763131979041536e+18
5.934211084807015680e+17,1.261013463566335200e+17,1.103728067291010720e+17,4.753957684082539000e+15,1.200243714057023040e+17,2.845508715418596800e+17
1.284392721955161760e+17,6.582899289004288281e+13,5.210009825943964062e+13,4.579091206731157500e+14,1.306264216168661562e+14,2.069333731659682812e+13
1.385018294682965234e+13,1.050371656242955273e+13,3.047031798187232000e+17,4.251111539590174316e+12,1.186221322433591016e+13,4.304185493434528809e+12
6.806973762054445000e+15,5.801950141305768000e+16,1.092071895108848640e+17,1.350938512342375800e+16,3.008975178211703200e+16,1.775151960826383400e+16
4.101216744397075968e+18,1.129921927995826381e+19,3.730727310654025600e+17,3.138174839062576640e+17,3.676364284157649600e+16,2.111053649849938000e+16
2.653453425038238400e+16,7.236853526942597120e+17,5.173054193564491520e+17,2.908718834938572800e+16,1.866910778473246000e+16,1.075880181769446800e+16
3.639439753943177600e+16,4.745987899155266400e+16,3.802103814823049316e+12,1.119517935616324219e+12,1.788866511195284750e+15,5.662225612596350000e+14
1.905835057001248512e+18,6.011725825173389062e+13,8.131197797957003125e+13,1.011240164964311875e+15,6.922584408451116406e+13,3.634968189290729688e+13
8.541850249758214400e+16,4.225392463614541600e+16,6.573145995483313281e+13,2.793178811729899500e+15,5.238689394565986875e+14,2.183631179106599250e+15
2.072417486321034560e+17,8.276520417672676250e+14,9.542411050485071250e+14,5.511209324561515625e+14,5.686991014157183594e+13,1.457019176612470312e+14
1.257731617495954102e+12,3.727826362612092969e+13,3.555839730978791992e+12,4.159453755098323242e+12,6.708343344030478516e+12,2.913328052554597168e+12
3.268232747974277632e+18,3.699996229073480500e+15,1.362288866959595156e+14,2.851183954634780000e+14,2.696913667177389844e+13,2.320089086450146875e+14
1.489775672055665000e+15,8.439603899585004000e+15,4.029768241193892864e+18,6.900119350807063000e+15,1.221135798511132750e+15,1.259445849817983250e+15
4.476944432565361920e+17,4.659332697076779688e+13,1.861188166893078400e+16,8.467476911052765625e+13,3.535910582921048828e+12,1.353150151635836562e+14
1.938290051154480128e+18,2.181260853391534688e+14,3.892603363440504000e+16,1.168782602297270156e+14,1.226633324733929750e+15,6.750195549899709375e+13
8.760677675616761600e+17,7.902768234673504688e+13,2.056833312181212891e+12,2.170258127769302812e+14,9.818687591376763916e+11,2.308243024533997803e+11
2.911288970955915264e+18,3.504530499417712500e+14,1.881561336092340800e+16,2.765055494435985625e+14,3.834220778032243125e+14,8.418308417516184375e+13
1.722126336064195174e+19,1.005116021542937600e+18,7.302775621150228800e+16,5.156317518018100800e+16,1.386976140657320000e+16,1.164037261221049400e+16
1.816893464170957750e+15,1.211385315581729536e+18,1.686889908297334688e+14,1.286495161118906719e+14,2.456337741826614000e+16,3.269340127308993359e+13
4.818404530983454720e+17,2.352285799670354688e+14,7.731366778317756250e+13,3.264060601771515234e+13,1.401944476722599609e+12,3.111358244965077148e+12
4.045055439465360625e+14,1.508471797754458240e+17,1.824306425247243125e+14,5.517138010319514844e+13,1.540403834730767500e+14,2.386317690951085600e+16
4.805059550343921280e+17,5.407647380121374375e+14,5.729452172358453750e+14,6.032702132531056250e+14,1.231060915029843438e+14,8.627692689565135000e+14
3.552657818715410767e+11,3.304898717158233500e+15,1.914955876846611084e+12,1.680295444789780518e+12,2.484452163822284546e+11,1.902720428352264404e+11
1.702443992298914816e+18,5.985578222637595648e+18,7.704296516382022000e+15,7.432771946537305000e+15,1.257544978757155400e+16,1.450920869336866500e+15
1.261220679662426080e+17,5.952840274158891520e+17,8.416710236342910720e+17,2.762036598151857600e+16,9.135412355960426240e+17,1.293330856547746048e+18
2.090444514085619840e+17,1.394208648611511250e+14,5.309358581408836000e+15,1.973192427390857250e+15,1.563231226116358984e+13,7.713931216763242500e+14
3.669360519921544960e+17,2.035060729774921280e+17,8.966059011250710400e+16,3.864235217588010000e+14,9.622368193590340000e+14,5.387903022948901000e+15
2.572310607652260352e+18,5.485788119819306875e+14,1.882608305001725391e+13,2.572378253239012500e+14,2.034083134992527500e+14,4.656655963493253125e+13
1.542987408642171520e+17,3.158416436531376875e+14,1.064108764100815200e+16,1.087511372542235156e+13,2.583733115298304199e+12,1.351686964121635498e+12
4.505871486777187840e+17,1.114064416342556125e+15,1.598881746282764062e+14,1.367832128280735938e+14,1.633810869513285938e+13,4.685113014164066875e+14
8.231101320882465820e+12,6.001785407640649600e+16,1.783228662434417188e+13,6.280145767682328320e+17,6.945499238684476562e+12,3.100442184321492500e+14
1.412762649421393555e+12,1.227137489465433120e+17,1.657215272636659912e+12,8.139695578579727783e+11,3.892814907394998169e+11,3.572734765506482812e+13
1.776656555232557812e+13,2.889685892367639844e+13,6.711591441766185000e+14,9.077304166802974609e+12,2.140594013637168438e+14,2.375268427639205078e+12
5.639157913691134453e+09,3.562593785826537109e+12,4.439430475308352661e+10,1.849942300963691162e+12,1.551029855786270752e+11,2.149311104182308655e+11
2.660293016232962402e+12,1.285492633967831500e+15,1.702456352814608398e+12,7.898814582233527832e+11,3.532618539624515381e+11,3.108211696273223047e+13
7.200093914124464640e+17,2.164457912091318784e+18,6.356771946009107200e+17,2.170472261776428160e+17,2.228789629006447600e+16,4.460011865580020000e+14
4.543155342653313536e+18,3.827922035538716160e+18,2.343804954353725440e+17,4.563572068126396800e+16,3.430297826310636000e+15,4.957056477787037000e+15
